english,tamil
"She captioned the picture as Sky above, sand below, peace within.","அவங்க picture-க்கு Sky above, sand below, peace within -ன்னு caption போட்டாங்க."
Worship Lord Sivaperiya.,பகவான் சிவபெரியா வழிபாடு பண்ணுங்க.
"In the 'Virunthinar Potruthum, Virunthinar Potruthum' (care for the guest) scheme, many new initiatives have been taken to develop hospitality culture or inculcating, adventure tourism, rural tourism, eco-tourism, etc.","'Virunthinar Potruthum, Virunthinar Potruthum' (care for the guest) scheme-ல tourism related industry-ல வேலை செய்றவங்களுக்கு hospitality culture-அ inculcating பண்றது, adventure tourism, rural tourism, eco-tourism, இதெல்லாம் develop பண்றது மாதிரி நிறைய புது initiatives எடுக்கப்பட்டிருக்கு."
"Lawrence Bowen, in Acts 20:20 about the public ministry by Paul in Ephesus, pointed out what Paul said about the public ministry, saying that Paul used any opportunity to testify.","Lawrence Bowen, Ephesus-ல Paul பண்ண public ministry பத்தின Acts 20: 20-ல apostle Paul சொன்னதுக்கு point பண்ணி சொன்னாரு, Paul சாட்சியம் சொல்ல எந்த opportunity-யும் use பண்ணாருன்னு சொல்லி."
"Some prominent people who were arrogance of their weak asked: Did you know that Saleh has been sent by his Lord? Surely, he said he would believe the message.",அவங்களோட பலவீனமானவங்க மேல arrogance-ஆ இருந்த சில முக்கிய ஆளுங்க கேட்டாங்க: Saleh-அ அவரோட Lord-ஆல் அனுப்பப்பட்டிருக்காருன்னு உங்களுக்குத் தெரியுமா? நிச்சயமா அவர் சொல்லியிருக்க message-அ நம்புறோம்னு சொன்னாங்க.
"Angered by the words of another prophet, King Jehoiakim killed the prophet Urijah. Jeremiah 26: 21 - 24.","இன்னொரு தீர்க்கதரிசனோட வார்த்தைகள்ல கோபப்பட்ட King Jehoiakim, அந்தத் தீர்க்கதரிசியான Urijah-ஐ கொன்று போட்டாரு. Jeremiah 26: 21 - 24."
President i Jinping thanked me for hosting the PM-I at the 2nd Informal Summit in Chennai and said that he will never forget the welcome given by PM Modi and the people of India.,"President i Jinping, Chennai-ல நடந்த 2nd Informal Summit-ல PM-ஆட host பண்ணதுக்கு ரொம்ப நன்றி சொன்னாரு, PM Modi-யும் இந்திய மக்களும் கொடுத்த வரவேற்ப மறக்க முடியாதுன்னு சொன்னாரு."
Fans were very happy to see this.,இத பாத்து fans எல்லாம் ரொம்ப சந்தோஷப்பட்டாங்க.
"As the Bible says, God will soon remove all injustice. Read 2 Peter 3:7-9, 13.","Bible-ல சொல்லி இருக்காங்க, சீக்கிரமே கடவுள் எல்லா அநீதத்தையும் நீக்கிடுவாருன்னு. 2 Peter 3: 7 - 9, 13 படிக்கவும்."
The government has created a new Jal Shakti Ministry to tackle the drinking water problem.,குடிநீர் பிரச்சனைய சமாளிக்க அரசாங்கம் புது Jal Shakti அமைச்சகம் உருவாக்கி இருக்கு.
"Heat coconut oil, add mustard seeds, onions, peppercorns, ginger and garlic.","தேங்காய் எண்ணெய் சூடாக்கி, கடுகு சேர்த்து, வெங்காயம், மிளகுத்தூள், இஞ்சி, பூண்டு சேர்த்து வதக்கி விடுங்க."
That's not really right.,அது உண்மையிலேயே சரியானது இல்ல.
"Looking at my economic situation, sometimes I feel that I can earn a lot if I do a little secular work.","என் economic situation-ஐப் பாத்தா, கொஞ்சம் secular work பண்ணா நிறைய சம்பாதிக்க முடியும்னு சில சமயம் தோணும்."
What did you study in school?,ஸ்கூல்-ல என்ன படிச்சீங்க?
"At that event, Rajinikanth was honoured with the Icon of Golden Jubilee award.","அந்த event-ல, ரஜினிகாந்த் அவர்களுக்கு Icon of Golden Jubilee award கொடுத்து honour பண்ணாங்க."
Do you splosh?,நீங்க splosh பண்ணுவீங்களா?
It's up.,மேல இருக்கு.
"Indian Prime Minister Narendra Modi asked me to help him on the Kashmir issue. ""I want to be a mediator,"" Trump said.","இந்திய பிரதமர் நரேந்திர மோடி அவர்கள், காஷ்மீர் பிரச்சினையில் எனக்கு உதவி பண்ண சொன்னாங்க. எனக்கு mediator ஆகணும்னு ரொம்ப ஆசை, -ன்னு Trump சொல்லி இருக்காரு."
I love the Telugu language.,எனக்கு Telugu language ரொம்பப் பிடிக்கும்.
Perumkollar in Kanniyakumari District and Shencottah Taluk of Tenkasi District,கன்னியாகுமரி மாவட்டம் மற்றும் தென்காசி மாவட்டத்தின் Shencottah தாலுகாவிலுள்ள Perumkollar
(Crores of rupees),( கோடி ரூபாய்ல )
"So blessed after offering prayers at Shri Amarnath Ji Holi cave in J K,"" he wrote on Twitter.","ஜம்மு காஷ்மீரில் உள்ள ஸ்ரீ அமர்நாத் ஜி ஹோலி குகைல பிரார்த்தனை செய்த பிறகு மிகவும் ஆசீர்வாக இருக்கு, என்று அவர் ட்விட்டரில் எழுதினார்."
"The area around William Brown Street is called the 'Cultural Quarter' because it has many civic buildings, including the William Brown Library, the Walker Art Gallery, the Picton Reading Rooms, and the World Museum Liverpool.","William Brown Street-அ சுத்தி இருக்குற இடத்த 'Cultural Quarter' -ன்னு சொல்லுவாங்க, ஏன்னா அங்க நிறைய civic buildings இருக்கு, William Brown Library, Walker Art Gallery, Picton Reading Rooms, World Museum Liverpool இதெல்லாம் அதுல அடங்கும்."
"Two more states, Kerala and West Bengal, have opted for Option 1 to compensate for the GST implementation shortfall.",GST implementation shortfall-ஐ சரிக்கட்ட Kerala மற்றும் West Bengal -ன்னு இன்னும் ரெண்டு States Option-1-ஐ தேர்ந்தெடுத்துள்ளாங்க.
But this is new in Tamil cinema.,ஆனா தமிழ் சினிமாவுல இது புதுசு.
"After a while, he re","சிறிது நேரம் கழிச்சு, அவர் re"
The fear of extinction of continents makes us wonder if there is a comeback possible.,"இது முழுக்க முழுக்க continents-அயே அழிச்சுடலாம் அப்படிங்கற பயம், இப்படி ஒரு comeback possible-ஆ இருக்குமானு கேக்குதுக்கு நம்மள தூண்டும்."
I'm back.,திரும்பி வந்துட்டேன்.
Their players played well.,அவங்க players நல்லா விளையாண்டாங்க.
The incident took place in Nalgonda town.,இந்த சம்பவம் Nalgonda town-ல நடந்துச்சு.
The message has been shared on WhatsApp and Facebook.,அந்த message WhatsApp-லயும் Facebook-லயும் பகிரப்பட்டுருக்கு.
"Not only did she survive the fight, but she took steps to protect herself.","அவங்க fight-ல இருந்து தப்பிச்சது மட்டும் இல்லாம, தன்னோட பாதுகாப்புக்காகவும் steps எடுத்திருக்காங்க."
It is divine.,அது தெய்வீகமானது.
Rs 25 lakh has been stolen.,25 லட்சம் ரிச்சாபடிக்கப்பட்டுருக்கு.
Is there anyone else?,வேற யாராச்சும் இருக்காங்களா?
That's why I decided to produce this film myself.,அதான் நானே இந்த படத்த produce பண்ணலாம்னு முடிவு பண்ணேன்.
Now they can use public welfare schemes of state and central governments. The Prime Minister called this agreement special because it symbolises the spirit of cooperative federalism.,"இப்போ அவங்களால state and central governments-ஓட public welfare schemes-அ use பண்ணிக்க முடியும். இந்த agreement-ஐ Prime Minister special -ன்னு சொன்னாரு, ஏன்னா இது cooperative federalism-உடைய spirit-ஐ symbolise பண்ணுதுன்னு சொன்னாரு."
We can't say we won't give.,நாம கொடுக்க மாட்டேன்னு சொல்ல முடியாதுங்க.
I know a lot of them.,அவங்கல நிறைய பேர எனக்கு தெரியும்.
His wife is pregnant.,அவங்க மனைவி கர்ப்பா இருக்காங்க.
We are in India.,நாங்க இந்தியாவுல இருக்கோம்.
TNEA rank list 2020: All students will be given rank on merit basis.,TNEA rank list 2020: எல்லா students-க்கும் merit basis-ல rank கொடுக்கப்படுவாங்க.
But there are no prizes.,"ஆனா, எந்த prizes-ம் கிடையாதுங்க."
My job is to bring happiness to the children.,"என் வேலை என்னன்னா, குழந்தைகளுக்கு சந்தோஷத்த கொண்டு வரணும்னு தான்."
He hasn't been here yet.,அவர் இன்னும் இங்க வரல.
The police are trying to catch him.,அவர பிடிக்க போலீஸ் முயற்சி பண்ணிட்டு இருக்காங்க.
Cocoa 100 g,Cocoa 100 கிராம்
MS Dhoni is one of the best review takers in world cricket.,உலக கிரிக்கெட்ல ரொம்பவே சிறந்த review takers-ல MS Dhoni ஒருவர்.
"Brothers, everyone should be my followers, think I'm an ensample to you, and watch who should behave the way.","சகோதரர்களே, எல்லாரும் என்னோட followers-ஆ இருக்கணும், நான் உங்களுக்கு ஒரு ensample-ஆ இருக்கேன்னு நினைச்சு, யாரு எப்படி நடந்துக்கனும்னு கவனிங்க."
It was very rationing.,ரொம்பவே rationing இருந்துச்சு.
"As a result, water becomes wasted.","இதனால, தண்ணி waste ஆகுது."
"For an in-depth study of Babylon the Great, Revelation was published by the Watchtower Bible and Tract Society of New York, Inc. in 1988. Its Grand Climax At Hand! Look at chapters 33-37 of the book.","Babylon the Great பத்தின Revelation-ல உள்ள தீர்க்கதரிச்சத்தோட in - depth study-க்கு, 1988-ல் Watchtower Bible and Tract Society of New York, Inc. publish பண்ணின Revelation Its Grand Climax At Hand! புத்தகத்தோட 33 - 37 chapters பாருங்க."
But the rules are like that.,"ஆனா, rules அப்படித்தான் இருக்கும்."
The victim sustained injuries to his head and chest.,பாதிக்கப்பட்டவருக்கு தலையிலும் மார்பு பகுதியிலும் காயம் ஏற்பட்டிருக்கு.
He happily agreed.,அவர் மகிழ்ச்சியா agree பண்ணிட்டாங்க.
Karunanidhi's brother Alagiri is the first in the DMK.,DMK-ல Karunanidhi-யோட அண்ணன் Alagiri தான் முதல்ல இருக்காரு.
"Since humans are absurdly sinful by nature, walking in Jesus' way is not their normal way of walking.","மனிதர்கள் இயல்பிலேயே அபிதானமான பாவம்கூடவர்கள் ஆகையால், இயேசுவோட வழியில நடக்குறது அவங்க normal way of walking கிடையாது."
Academics like Eugene Fama say that the evidence for technical analysis is lacking and does not match the weak form of efficient market hypothesis.,"Eugene Fama மாதிரி academics சொல்றது என்னன்னா, technical analysis-க்கு evidence ரொம்ப கம்மிதான், efficient-market hypothesis-ஓட weak form-க்கும் இதுக்கும் ஒத்து போற மாதிரி இல்லன்னு."
The notification is available on the official website.,Notification official website-ல இருக்கும்.
War will happen.,போர் நடக்கும்.
"Second, we should not focus only on the areas that are going well in our lives and ignore the aspects that need to be worked.","ரெண்டாவதா, நம்ம வாழ்க்கையில நல்லா போயிட்டு இருக்குற areas-ல மட்டும் focus பண்ணிட்டு, work பண்ண வேண்டிய aspects-அ ignore பண்ணிடக் கூடாது."
"Even so, you may need to change your view in some cases.","அப்படி இருந்தாலும், சில விஷயத்துல உங்க view-அ மாத்தி பாக்க வேண்டியதா இருக்கலாம்."
They told the police at Maur Mandi.,அவங்க Maur Mandi-ல போலீஸ்கிட்ட சொல்லிட்டாங்க.
"But voters in France and the Netherlands overwhelmingly rejected it - so there was a crisis in the EU, which made it impossible to agree to the budget at the Brussels summit and stopped the constitution ratification process indecently.","ஆனா, France-லயும் Netherlands-லயும் voters இத overwhelmingly reject பண்ணிட்டாங்க - அதனால EU-க்குள்ள ஒரு crisis வந்தது, அதனால Brussels summit-ல budget-அ agree பண்ண முடியாம போச்சு, constitution ratification process-அ indefinitely நிறுத்திட்டாங்க."
Here are some simple tips.,இதோ சில simple tips.
The police have registered an accident and are investigating it.,"போலீஸ் accident-ஆ register பண்ணி, அதுக்கு investigate பண்ணிட்டு இருக்காங்க."
How many raiders?,எத்தனை raiders?
"But to rescue ourselves from the wicked one, we must trust in Jehovah and decide to be loyalty to him.","ஆனா, wicked one- கிட்ட இருந்து நம்மளை மீட்பதுக்கு Jehovah- மேல நம்பிக்கை வச்சு, அவர் மேல loyalty-ஆ இருக்க முடிவு பண்ணிக்கணும்."
"But we should always bear in mind that it is wrong to impose our conscience's judgments on fellow Christians, even in purely personal matters, when there is no divinely given principle, rule, or law. Romas 14: 1 - 4. Galatians 6: 5.","ஆனா, தெய்வீக வழங்கப்பட்ட கொள்கை, விதி அல்லது சட்டம் இல்லாதபோது, முற்றிலும் தனிப்பட்ட விஷயங்களிலும் நம்மளோட மனசாட்சி-யோட தீர்ப்புகளை சக Christians-க மேல திணிக்கிறது தப்பானதுன்னு மனசுல எப்பவும் வச்சுக்கணும். ரோமாஸ் 14: 1 - 4. Galatians 6: 5."
"A total of 15,19,375 students had registered for the exam across the country.","நாடு முழுவதும் நடந்த exam-ல மொத்தம் 15,19,375 students register பண்ணிருந்தாங்க."
They said they didn't get any certificate from the State Pollution Board.,State Pollution Board-ல இருந்து எந்த certificate-ம் வாங்கலேன்னு சொல்லி இருக்காங்க.
I don't know what to say anymore.,இனிமேல் என்ன சொல்லுறதுன்னே எனக்குத் தெரியல.
What are the risks of treatment?,Treatment-ல என்ன risks இருக்கு?
People in the BJP have forgotten Shyama Prasad Mukherjee's head money.,BJP-ல இருக்கவங்க Shyama Prasad Mukherjee-ஓட தலையாய்ப்பணத்த மறந்துட்டாங்க.
This will definitely happen one day.,இது ஒரு நாள் கண்டிப்பா நடக்கும்.
Women have fought hard against this.,இதுக்கு எதிரா பெண்கள் ரொம்ப கஷ்டப்பட்டு fight பண்ணிருக்காங்க.
"For every earthquake victim, their families are given Rs.","பூகம்பத்துல இறந்த ஒவ்வொருத்தருக்கும், அவங்க families-க்கு Rs. அளிக்கப்படுது."
But he didn't.,ஆனா அவர் அப்படி பண்ணல.
Water scarcity is a major problem in Tamil Nadu.,தமிழ்நாட்டுல தண்ணி பஞ்சம் ரொம்ப முக்கியமான பிரச்சனையா இருக்கு.
"Courage is very important to keep telling our Kingdom message. Some people, even relatives, may make fun of you or try to discourage you in some other way. Apollo Paul was physically attacked more than once because he had faithfully fulfilled his ministry.","நம்ம Kingdom message-அ தொடர்ந்து சொல்லிட்டே இருக்க தைரியம் ரொம்ப முக்கியம். சில பேர், உறவினர் கூட, உங்களை கேலியாக்கலாம், இல்லன்னா வேற ஏதாவது விதத்துல discourage பண்ண try பண்ணுவாங்க. அப்போலர் பால் அவர்கள் தன்னுடைய ஊழியத்தை உண்மையுள்ளவர்களா நிறைவேற்றியதால், அவர் மேல ஒரு தடவைக்கு மேல உடல் ரீதியா தாக்கப்பட்டார்."
Maximum...,Maximum...
"ISLAMABAD Pakistan Prime Minister Imran Khan, during his first visit to the headquarters of the Powerful Spy Agency, said that ISI is our first line of defence.","ISLAMABAD Pakistan Prime Minister Imran Khan, powerful spy agency-யோட headquarters-க்கு first time visit பண்ணும்போது, ISI-அ நம்ம first line of defence-ன்னு சொல்லி இருக்காரு."
"The film is bankrolled by Vijaya Productions, music Santhosh Narayanan.","இந்த படத்தோட bankroll பண்ணது Vijaya Productions, music Santhosh Narayanan."
Cool down a little.,கொஞ்சம் cool down பண்ணுங்க.
One is said to have committed suicide in jail.,ஒருத்தர் jail-லயே தற்கொலை பண்ணிட்டாருன்னு சொல்றாங்க.
The music of the film was composed by Ilayaraja.,இந்தப் படத்துக்கு இசையமைச்சது Ilayaraja அவர்கள்தான்.
Nokia 7.1 First Impressions: The Camera,Nokia 7.1 first impressions: Camera-அ பொறுத்தவரைக்கும்
They were all very good.,அவங்க எல்லாரும் ரொம்ப நல்லா இருந்தாங்க.
"Not only that, passengers have been asked to sit in the alternate seats of the train or stand with a distance of one meter.","அதுமட்டுமில்லாம, train-ல alternate seats-ல passengers உக்கார வச்சுருக்காங்க, இல்லன்னா one meter இடைவெளி வச்சு நின்னுக்கவும் சொல்லி இருக்காங்க."
Bathe every day.,தினமும் குளிப்பாட்டணும்.
She took her hand and kissed it.,அவங்க கைய எடுத்து முத்தொன்னாங்க.
Samayapuram Mariamman Temple,சாமயபுரம் மரியம்மன் கோயில்
"In the Iraqi parliament, the Sunni parties are very brave enough to leave the Maliki government.","Iraqi parliament-ல, Sunni parties எல்லாம் Maliki government-ஐ விட்டுப் பிரிஞ்சு போக ரொம்ப தைரியப்பட்டிருக்காங்க."
He was later sent to jail.,அவர் பிறகு சிறைக்கு அனுப்பப்பட்டார்.
What are the activities...,என்னென்ன activities...
An 11-year-old boy is in police custody.,11 வயசு பையன போலீஸ் ஸ்டேட்டிங்க.
A gold chain dripped from one's neck.,ஒருத்தவங்க கழுத்துல இருந்து தங்க சங்கிலி வழிஞ்சுடுச்சு.
Local Election,உள்ளூர் தேர்தல்
Snakes can be a little terrifying.,பாம்புகள் கொஞ்சம் பயங்கரமா இருக்கும்.
"She has acted in Kannada, Telugu and Malayalam films.","அவங்க கன்னட, தெலுங்கு, மலையாள படங்கள்ல நடிச்சிருக்காங்க."
The photos and videos of the wedding have been released on social media and have gone viral.,கல்யாணத்தோட photos-ம் videos-ம் social media-ல வெளியாகி viral ஆயிடுச்சு.
That's why they think they've found the true religion.,அதனால்தான் அவங்க தான் true religion-அ கண்டுபிடிச்சிட்டோம்னு நெனச்சுக்கிறாங்க.
India's Best Cities,இந்தியாவோட Best Cities
District Administrators Statements:,District Administrators-ன் Statements:
They don't know that.,அவங்களுக்கு அது தெரியாதுங்க.
Why are there so many figures? According to the U.S.,என்னடா இப்படி அதிகமா figures வருது? U.S. -ன் படி.
"Ingredients: everything is vegetable oil, garlic, ginger, chilli, lemongrass, cumin powder, asafoetida, chopped tomatoes, tamarind, basmati rice, salt, coriander.","Ingredients: எல்லாம் வெஜிடபிள் ஆயில், பூண்டு, இஞ்சி, மிளகாய், lemongrass, சீரகத்தூள், பெருங்காயம், நறுக்கின தக்காளி, புளி, basmati அரிசி, உப்பு, coriander."
Why does trust have such a powerful influence? We learned a lot by studying pessimism as opposed to optimism.,நம்பிக்கை ஏன் இவ்வளவு powerful influence-ஐ கொண்டிருக்கு? optimism-க்கு எதிரா இருக்குறது pessimism-அ study பண்ணி நிறைய கத்துக்கிட்டோம்.
These are the details of the fund that has been assigned to many departments:,பல Departments-க்கு allocate பண்ணப்பட்ட fund-ஓட details இதுதான்:
"Some specific changes have been made to make this scheme more attractive to raise money according to the target, reduce economic strains due to gold import, reduce Current Account Deficit (CAD).","இந்த scheme-ஐ இன்னும் attractive-ஆ மாத்தி, target-க்கு தகுந்தபடி பணம் திரட்டவும், gold import-னால வர economic strains-ஐக் குறைக்கவும், Current Account Deficit (CAD)-ஐக் குறைக்கவும் சில specific changes பண்ணியிருக்காங்க."
Use it if you need it!,தேவை இருக்குன்னா use பண்ணுங்க!
Why didn't a 25-year-old worker from the Congress party stand for election?,Congress party-ல இருக்கிற 25 வயசு worker-ஐ ஏன் election-ல நிக்க விடல?
He was removed from that organization.,அவர் அந்த organisation-ல இருந்து ਕੱਢப்பட்டார்.
Isn't that an excellent reason to be thankful?,அது நன்றி சொல்ல ஒரு excellent reason இல்லையா?
"This Christian lady may remind you of another faithful woman, and you have not noticed that strange virgin who has difficulty dropping two small coins into the sanctum sanctorum of the temple of Jesus Christ.","இந்த Christian பெண்மணி உங்களுக்கு வேற ஒரு faithful woman-ஐ நினைவுபடுத்துற மாதிரி இருக்கலாம், அந்தக் கஷ்டப்பட்ட வித்தியாசமான கன்னிப் பெண்மணி, இயேசு கிறிஸ்து கோயில் கருவறையில இரண்டு சின்ன நாணயங்களைப் போடுவதைக் கவனிச்சீங்கல்ல."
"Legal divorce, which is not a result of sexual immorality, does not mean that you cannot marry.","sexual immorality-னால வராத legal divorce-னால, திருமணம் பண்ணிக்க முடியாதுன்னு சொல்ல முடியாது."
Interla Radio,இன்டர்லா ரேடியோ
Dr. Harsh Vardhan from the Ministry of Science Technology has told our scientists to get up from the slumber. Science Technology Minister Dr Harsh Vardhan has told our scientists to come out of routine work culture and think out of the box.,"Ministry of Science Technology-ல இருக்கறவங்க, Dr. Harsh Vardhan, நம்ம scientists-கிட்ட slumber-ல இருந்து எழுந்திருக்கணும்னு சொல்லி இருக்காரு. Science Technology Minister Dr Harsh Vardhan, நம்ம scientists-கிட்ட routine work culture-ல இருந்து வெளிய வந்து think out of the box-ன்னு சொல்லி இருக்காரு."
"At the Karina ministry,","Karina ministry-ல இருக்காங்களே,"
Let's just say it's wrong.,அது தப்புன்னு சொல்லலாம்.
I've had a lot of opportunities like that before.,இது மாதிரி நிறைய opportunities எனக்கு முன்னாடி கிடைச்சிருக்கு.
Former Australia captain Ricky Ponting.,ஆஸ்திரேலியாவோட முன்னாள் கேப்டன் Ricky Ponting.
Farmers are not happy.,விவசாயிகளுக்கு சந்தோஷம் இல்லங்க.
Enjoy the beauty of nature.,இயற்கை அழகை ரசிக்கோங்க.
This girl has agreed to the local sister's regular Bible study and is still progressing.,"இந்தப் பொண்ணு local sister-ஓட regular Bible study-க்கு சரின்னு agree பண்ணிட்டாங்க, இன்னும் progress பண்ணிட்டு இருக்காங்க."
It's not that hard work.,அவ்வளவு கஷ்டமான வேலை கிடையாதுங்க.
I can't fork.,fork பண்ண முடியல.
No one has time to wait.,யாருக்கும் wait பண்ணி பாக்குறதுக்கு நேரம் இருக்காதுங்க.
The engine in the 650S is the modified version of the 3.8 liter twin turbo V8 in the 12C. It generates 641 HP of power and 678 Nm of torque.,"650S-ல இருக்குற engine, 12C-ல இருக்குற 3.8 liter twin turbo V8-ன் modified version. அது 641 HP power-ம் 678 Nm torque-ம் generate பண்ணும்."
They couldn't even walk.,அவங்க நடக்கவும் முடியல.
Men are more likely to commit suicide.,ஆண்கள் தான் அதிகமா தற்கொலை பண்றாங்க.
He said that now is the time for us to give equal importance from scientists fundamental science to solution science.,நம்மா scientists fundamental science-ல இருந்து solution science-க்கும் சம முக்கியத்துவம் கொடுக்கறது இப்போ நேரம்ன்னு அவர் சொன்னாரு.
Then they came back to the hospital.,அவங்க அப்புறம் hospital-க்குத் திரும்பி வந்தாங்க.
"In ordinary arithmetic, when we multiply 0 (assuming 0), no number appears, so this expression has no meaning, so dividing by zero is undefined.","Ordinary arithmetic-ல, 0-ஐ multiply பண்ணும்போது (0-ஐ assume பண்ணா) எந்த number-ம் வராது, அதனால இந்த expression-க்கு எந்த ஒரு அர்த்தமும் இல்லை, அதனால zero-ஆல divide பண்றது undefined-ஆ தான் இருக்கு."
"When Alexander was at Corinth, he had a famous encounter with Diogenes the Cynx.","Alexander Corinth-ல இருந்தப்போ, அவருக்கும் Diogenes the Cynic-க்கும் நடந்த famous encounter."
We are also monitoring.,நாங்களும் monitor பண்றோம்.
He told me how important a good spiritual diet is to stay fit for the sacred service.,"அவர், sacred service-க்கு fit-ஆ இருக்க நல்ல spiritual diet எவ்வளவு முக்கியம்னு சொன்னாரு."
He responded in the same way.,அவரும் அதே மாதிரி reply பண்ணாரு.
He runs a shop in the area.,அவர் அந்த area-ல ஒரு கடை நடத்துறாரு.
He paid homage to the freedom fighters.,அவர் சுதந்திரத்திற்கான போராட்ட வீரர்களுக்கு அஞ்சலி செலுித்தார்.
I'm also tempted.,எனக்கும் ஆசையா இருக்கு.
"As a result, 15 crore poor people are not hungry and no one should stop eating and sleeping.","இதனால, 15 crore ஏழை மக்கள் யாரும் பசி தாங்க முடியாம இருக்கணும், யாரும் சாப்பிடுறத விட்டு தூங்கக் கூடாதுன்னு ஏற்பாடு பண்ணிருக்காங்க."
Actor Kamal Haasan is hosting this show.,இந்த show-ஐ நடிகர் கமல்ஹாசன் தான் host பண்றாரு.
What are you saying!,என்ன சொல்றீங்க!
"In 1792, he argued that Louis should be put on trial for conspiring against his country.","1792-ல், Louis தனது நாட்டுக்கு எதிராக சதி செய்ததற்காக விசாரணைக்கு உட்படுத்தப்பட வேண்டும் என்று அவர் வாதாடினார்."
"Hundreds of years later, Jesus scolded Sadducees for not believing in resurrection.","நூற்றுக்கணக்கான வருஷங்களுக்குப் பிறகு, resurrection-ஐ நம்பாத Sadducees-ஐ இயேசு கண்டபடி திட்டினார்."
The DMK has an alliance with the Congress in this state.,இந்த state-ல DMK-க்கு Congress-ஓட alliance இருக்கு.
"In previous referendums, they refused to reduce the workweek to 40 hours, even when asked to add a five-week paid vacation.","முன்னாடி நடந்த referendum-ல, அவங்க workweek-ஐ 40 மணி நேரமா குறைக்க மறுத்துட்டாங்க, கூட ஒரு ஐந்தாவது வாரம் paid vacation-ன்னு add பண்ணனும்னு சொன்னா கூட மறுத்துட்டாங்க."
We don't politicise education.,நாங்க education-ஐ politicise பண்ண மாட்டோம்.
"The family lives in Guwahati's satellite town Ganeshguri, Assam.",அந்த family Assam-ல இருக்குற Guwahati-யோட satellite town Ganeshguri-ல இருக்காங்க.
Plancent Park,பிளேன்சென்ட் பார்க்
Here are some of the messages their fans can share with their fans wishing them a happy birthday.,அவங்க fans அவங்க பிறந்தநாள் வாழ்த்து சொல்லி share பண்ண சில messages இதுதான்.
Jaya TV was started by former Tamil Nadu Chief Minister Jayalalithaa.,ஜெயா டிவி-ய ஆரம்பிச்சது முன்னாள் தமிழ்நாடு முதல்வர் ஜெகாலலிதா அவர்கள்தான்.
They understand world politics.,அவங்களுக்கு world politics புரியும்.
Companies should not try to achieve more production targets.,Companies அதிக production targets achieve பண்ணனும்னு try பண்ணக் கூடாது.
